,ratingDescription,release year,user rating size,rating_G,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,user rating score,,
236,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,97,,
237,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,98,,
241,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,99,,
243,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
244,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,85,,
245,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,98,,
248,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,96,,
250,80,1998,80,0,0,0,1,0,0,0,0,0,0,0,0,91,,
251,80,1999,80,0,0,0,1,0,0,0,0,0,0,0,0,81,,
252,60,1978,80,0,0,1,0,0,0,0,0,0,0,0,0,91,,
253,80,2003,80,0,0,0,1,0,0,0,0,0,0,0,0,90,,
254,80,2006,80,0,0,0,1,0,0,0,0,0,0,0,0,93,,
255,80,2006,80,0,0,0,1,0,0,0,0,0,0,0,0,91,,
256,35,2007,80,0,0,0,0,0,0,1,0,0,0,0,0,96,,
257,80,2008,80,0,0,0,1,0,0,0,0,0,0,0,0,73,,
258,60,2009,80,0,0,1,0,0,0,0,0,0,0,0,0,97,,
259,35,2009,80,1,0,0,0,0,0,0,0,0,0,0,0,81,,
260,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
261,70,2010,80,0,0,0,0,0,0,0,0,1,0,0,0,92,,
263,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
264,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
265,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,73,,
266,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,79,,
267,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,74,,
268,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,97,,
269,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,56,,
270,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,96,,
271,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
272,90,2003,80,0,0,0,0,0,1,0,0,0,0,0,0,90,,
274,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,84,,
275,90,2005,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
276,90,2006,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
277,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,68,,
278,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,96,,
279,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
280,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,99,,
281,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,62,,
282,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
283,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,95,,
284,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
286,80,2013,80,0,0,0,1,0,0,0,0,0,0,0,0,89,,
287,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
288,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
289,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,85,,
290,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,97,,
291,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
292,35,2016,80,0,0,0,0,0,0,1,0,0,0,0,0,93,,
293,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,69,,
294,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
295,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,91,,
296,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
298,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,93,,
299,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
300,80,1998,80,0,0,0,1,0,0,0,0,0,0,0,0,68,,
301,60,1978,80,0,0,1,0,0,0,0,0,0,0,0,0,95,,
303,100,2001,80,0,0,0,0,1,0,0,0,0,0,0,0,92,,
304,35,2006,80,0,0,0,0,0,0,1,0,0,0,0,0,96,,
305,35,2007,80,0,0,0,0,0,0,1,0,0,0,0,0,92,,
306,80,2008,80,0,0,0,1,0,0,0,0,0,0,0,0,61,,
307,35,2009,80,1,0,0,0,0,0,0,0,0,0,0,0,77,,
308,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,89,,
309,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,66,,
310,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
311,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
312,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,85,,
313,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
314,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
315,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,94,,
316,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
317,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
318,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,88,,
319,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,84,,
320,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
321,90,2003,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
323,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
324,90,2011,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
325,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,89,,
326,90,2006,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
327,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,62,,
328,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
329,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
330,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
331,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
332,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,98,,
333,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
334,100,2012,80,0,0,0,0,1,0,0,0,0,0,0,0,79,,
335,80,2012,80,0,0,0,1,0,0,0,0,0,0,0,0,79,,
336,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,93,,
337,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
338,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
339,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
340,60,2015,80,0,0,1,0,0,0,0,0,0,0,0,0,73,,
341,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
342,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,91,,
343,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,84,,
344,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,93,,
345,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
346,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
347,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,88,,
349,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,92,,
350,90,2010,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
351,110,2012,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
353,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,61,,
354,90,2010,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
355,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,70,,
356,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
357,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,81,,
358,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
359,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
361,90,2006,80,0,0,0,0,0,1,0,0,0,0,0,0,79,,
362,70,2005,80,0,0,0,0,0,0,0,0,1,0,0,0,82,,
363,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,94,,
364,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,99,,
365,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
366,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,62,,
367,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,84,,
368,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,86,,
369,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,92,,
370,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
371,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
373,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,93,,
374,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,89,,
375,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,77,,
376,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,66,,
377,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,73,,
378,124,2016,80,0,1,0,0,0,0,0,0,0,0,0,0,71,,
380,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,83,,
381,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,97,,
382,110,2015,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
384,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,84,,
386,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
387,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,83,,
388,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,57,,
392,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,73,,
393,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,67,,
394,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,88,,
395,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,74,,
396,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,74,,
398,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,78,,
400,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,56,,
401,110,2013,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
402,70,2012,80,0,0,0,0,0,0,0,0,1,0,0,0,86,,
403,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
404,90,2010,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
405,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
406,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
407,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
408,110,2013,80,0,0,0,0,0,0,0,1,0,0,0,0,82,,
409,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
410,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,92,,
411,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
412,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
413,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
414,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,74,,
415,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,89,,
416,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,68,,
417,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
418,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,85,,
419,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
420,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,67,,
421,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,94,,
422,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
425,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,72,,
427,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
428,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
429,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,97,,
430,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,72,,
431,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,92,,
433,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,98,,
436,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
437,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
438,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
439,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,67,,
442,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
443,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,64,,
444,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,68,,
445,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,85,,
446,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
447,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,85,,
450,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,74,,
451,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,68,,
452,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,56,,
453,90,2010,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
454,90,2008,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
455,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
456,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,67,,
457,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,82,,
458,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,85,,
459,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,70,,
460,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,71,,
461,90,2003,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
462,90,2005,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
463,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,70,,
464,70,2014,80,0,0,0,0,0,0,0,0,1,0,0,0,93,,
465,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,71,,
466,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,97,,
467,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,97,,
468,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,72,,
469,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
470,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
471,70,2015,80,0,0,0,0,0,0,0,0,1,0,0,0,77,,
472,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,61,,
473,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,81,,
474,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,96,,
475,90,2011,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
476,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,93,,
477,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
478,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
480,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
481,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,75,,
482,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
483,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,55,,
486,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,95,,
487,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,74,,
489,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,88,,
490,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,65,,
491,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
492,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,81,,
493,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,82,,
494,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,85,,
496,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,70,,
497,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,96,,
